#OPEN_EXPORT: 2023.05.05.1207
#Datum vytvoøení souboru: 14.02.2024 18:58
#Stažením publikovaných dat souhlasíte s podmínkami užití tìchto dat.

METADATA
Stanice ID;Jméno stanice;Zaèátek mìøení;Konec mìøení;Zemìpisná délka;Zemìpisná šíøka;Nadmoøská výška
B2BTUR01;Brno, Tuøany;01.01.1961;31.12.1996;16.6956;49.1597;241
B2BTUR01;Brno, Tuøany;01.01.1997;31.12.2023;16.688889;49.153056;241

PØÍSTROJE
Pøístroj;Zaèátek mìøení;Konec mìøení;Výška pøístroje [m]
Teplomìr;01.01.1961;31.12.1996;2
Teplotní èidlo;01.01.1997;31.10.2010;2
Teplotní èidlo;01.11.2010;31.12.2023;2.03

PRVEK
Prùmìrná denní teplota vzduchu [T.AVG, °C]

POPIS
Hodnota - mìsíèní hodnota prvku pro daný mìsíc
Datum - datum výskytu hodnoty
Pøíznak * u datumu znamená, že se hodnota vyskytla vícekrát
Pøíznak I znamená, že se výpoèet provedl z neúplných dat.

STATISTIKA
AVG - prùmìrná hodnota za mìsíc
SUM - souèet za mìsíc
MAX - maximální hodnota za mìsíc a den maxima
MIN - minimální hodnota za mìsíc a den minima

MÌSÍÈNÍ DATA
Rok;Statistika;Hodnota leden;Datum leden;Hodnota únor;Datum únor;Hodnota bøezen;Datum bøezen;Hodnota duben;Datum duben;Hodnota kvìten;Datum kvìten;Hodnota èerven;Datum èerven;Hodnota èervenec;Datum èervenec;Hodnota srpen;Datum srpen;Hodnota záøí;Datum záøí;Hodnota øíjen;Datum øíjen;Hodnota listopad;Datum listopad;Hodnota prosinec;Datum prosinec;Hodnota rok;Datum rok;
1964;MAX;.9;26.01.1964;5.4;02.02.1964;7.4;31.03.1964;16.4;21.04.1964;19.5;31.05.1964;23.7;13.06.1964;25.3;21.07.1964;22.9;28.08.1964;20.5;16.09.1964;13.7;08.10.1964;11.5;25.11.1964;3.3;17.12.1964;25.3;21.07.1964;
1964;MIN;-12.3;21.01.1964;-8.5;13.02.1964*;-8.1;07.03.1964;3.2;08.04.1964;8.5;02.05.1964;11.5;30.06.1964;11.9;01.07.1964;11.1;31.08.1964;7.8;22.09.1964;4;25.10.1964;.9;09.11.1964;-7.6;30.12.1964;-12.3;21.01.1964;
1965;AVG;-1.1;;-3.4;;2.5;;7.7;;11.9;;16.6;;17.1;;15.9;;14.6;;7.1;;.7;;.2;;7.5;;
1965;MAX;2;09.01.1965*;1.8;14.02.1965;9.7;30.03.1965;11.7;07.04.1965;19.1;18.05.1965;23.9;26.06.1965;24;15.07.1965;23.2;07.08.1965;20.6;03.09.1965;15;04.10.1965;10.3;01.11.1965;5;19.12.1965;24;15.07.1965;
1965;MIN;-5.3;07.01.1965;-9;06.02.1965;-4.4;09.03.1965;3.7;10.04.1965;7.5;11.05.1965;12.1;02.06.1965*;11.6;04.07.1965;11.2;28.08.1965;10.7;20.09.1965;.1;27.10.1965;-6.6;24.11.1965;-4.5;29.12.1965;-9;06.02.1965;
1966;AVG;-4.9;;4.3;;3.7;;10.8;;13.9;;17.6;;17.5;;17.2;;13.7;;12.7;;3.3;;.6;;9.2;;
1966;MAX;3.6;02.01.1966;11.6;21.02.1966;7.9;05.03.1966;16.5;29.04.1966;19.3;04.05.1966;23;17.06.1966;22.3;05.07.1966;23.9;14.08.1966;19.3;12.09.1966;18.6;12.10.1966;11.1;08.11.1966;5.9;02.12.1966;23.9;14.08.1966;
1966;MIN;-9.8;16.01.1966;-2.8;10.02.1966;-.9;14.03.1966;5.3;03.04.1966;8.9;08.05.1966;11.8;29.06.1966;13.1;08.07.1966;10.9;26.08.1966;9.4;28.09.1966;.7;31.10.1966;-2.2;29.11.1966;-3;23.12.1966;-9.8;16.01.1966;
1967;AVG;-2.2;;.5;;5.3;;8.7;;14.3;;16.9;;20.5;;18.3;;15.6;;10.9;;3.5;;-1;;9.3;;
1967;MAX;3.5;26.01.1967;5.2;27.02.1967*;10.5;09.03.1967;16.7;10.04.1967;20.5;15.05.1967;24.7;26.06.1967;23.8;02.07.1967;25.6;01.08.1967;22;04.09.1967;16;04.10.1967;10;05.11.1967;5.9;24.12.1967;25.6;01.08.1967;
1967;MIN;-10.9;10.01.1967;-6.3;13.02.1967;1.5;17.03.1967;1.6;02.04.1967;6.8;05.05.1967;9.6;13.06.1967;14;09.07.1967;13.6;13.08.1967*;11.8;23.09.1967;4.4;19.10.1967;-2.2;26.11.1967;-7.7;12.12.1967;-10.9;10.01.1967;
1968;AVG;-3.7;;1;;4.7;;10.7;;13.5;;18.3;;18.1;;17.3;;14.3;;9;;5.1;;-3.2;;8.8;;
1968;MAX;4.2;16.01.1968;7.4;23.02.1968;15.5;30.03.1968;20;24.04.1968;20.4;29.05.1968;24.7;18.06.1968;26.5;06.07.1968;21.8;02.08.1968;19;04.09.1968;14.2;13.10.1968;14.5;02.11.1968;1.2;03.12.1968*;26.5;06.07.1968;
1968;MIN;-16.4;10.01.1968;-3.4;26.02.1968;-3.4;11.03.1968;1.1;11.04.1968;7.4;22.05.1968;9.7;10.06.1968;12.5;21.07.1968;11.8;19.08.1968;8.3;27.09.1968;3.2;23.10.1968;-2.8;15.11.1968;-10.9;31.12.1968;-16.4;10.01.1968;
1969;AVG;-3.1;;-1.8;;.8;;9;;16.2;;16.4;;19.4;;16.9;;14.7;;10.1;;4.9;;-4.9;;8.2;;
1969;MAX;2.6;24.01.1969*;2.6;21.02.1969;8.8;13.03.1969;19.8;28.04.1969;22.8;05.05.1969;22.3;24.06.1969;26.2;27.07.1969;22.9;03.08.1969;19.6;14.09.1969;12.9;14.10.1969;9.9;04.11.1969;.8;10.12.1969;26.2;27.07.1969;
1969;MIN;-9.8;11.01.1969;-7.6;17.02.1969;-3.1;17.03.1969*;1.8;19.04.1969;8.7;20.05.1969;11.7;04.06.1969;12.3;10.07.1969;11;27.08.1969;8.9;19.09.1969;6.5;30.10.1969;-3.7;27.11.1969;-15.3;22.12.1969;-15.3;22.12.1969;
1970;AVG;-3.1;;-2.5;;1.6;;7.7;;12.5;;17.8;;18;;17.9;;13.1;;8;;5.9;;0;;8.1;;
1970;MAX;3;05.01.1970;2.1;09.02.1970;9.2;31.03.1970;16.9;19.04.1970;17.1;10.05.1970;23.3;21.06.1970;22.6;14.07.1970;23.1;07.08.1970;21.1;11.09.1970;15.1;10.10.1970;14.4;03.11.1970;5.8;02.12.1970;23.3;21.06.1970;
1970;MIN;-8;19.01.1970;-9.5;01.02.1970;-6;01.03.1970;0;04.04.1970;4.4;01.05.1970;11.1;02.06.1970;11.3;17.07.1970;14.6;18.08.1970*;5.9;29.09.1970;2.7;18.10.1970;1.1;08.11.1970;-5.4;25.12.1970;-9.5;01.02.1970;
1971;AVG;-3.2;;1.4;;1.5;;9.7;;15.6;;15.8;;19.4;;20.3;;12.4;;7.9;;3.2;;2.5;;8.9;;
1971;MAX;5.7;31.01.1971;5.4;09.02.1971;12.7;21.03.1971;16.3;23.04.1971;20.9;18.05.1971;20.1;06.06.1971;26;28.07.1971;27.8;07.08.1971;18.6;04.09.1971;13;02.10.1971;9.9;04.11.1971;9;22.12.1971;27.8;07.08.1971;
1971;MIN;-13.8;05.01.1971;-6.7;27.02.1971;-11.9;05.03.1971;4.5;14.04.1971;4.7;01.05.1971;10.4;19.06.1971;11.7;01.07.1971;14.7;24.08.1971;7.1;16.09.1971;1.8;31.10.1971;-3.7;23.11.1971;-3.7;09.12.1971;-13.8;05.01.1971;
1972;AVG;-2.9;;2.2;;6.1;;8.5;;13.7;;17.6;;19.5;;17.5;;11.9;;7;;3.8;;-.2;;8.7;;
1972;MAX;1.4;03.01.1972;6.6;29.02.1972;10.3;31.03.1972;12.5;11.04.1972;18;24.05.1972;21.8;06.06.1972*;25.1;16.07.1972;24.4;15.08.1972;19.5;07.09.1972;10.7;09.10.1972;10.1;06.11.1972;7;03.12.1972;25.1;16.07.1972;
1972;MIN;-12.9;16.01.1972;-5.1;03.02.1972;-2.6;12.03.1972;1.4;25.04.1972;7.1;13.05.1972;12.2;01.06.1972;13.1;11.07.1972;12.6;26.08.1972;5.3;29.09.1972;-.3;21.10.1972;-1.5;27.11.1972;-6.1;29.12.1972;-12.9;16.01.1972;
1973;AVG;-1.1;;.8;;4.9;;7.1;;14.3;;16.8;;18.6;;19.4;;15.3;;7.2;;1.4;;-.5;;8.7;;
1973;MAX;2.6;30.01.1973;4.2;07.02.1973*;12.2;28.03.1973;14.9;30.04.1973;20.2;05.05.1973;22.8;28.06.1973;24.2;17.07.1973;23.8;06.08.1973;22.6;06.09.1973;13.1;06.10.1973;7.2;13.11.1973;5.5;21.12.1973;24.2;17.07.1973;
1973;MIN;-6.5;27.01.1973;-2.9;27.02.1973;-.2;10.03.1973;2.4;21.04.1973;8.1;17.05.1973;12.3;15.06.1973;12.8;28.07.1973;15.1;23.08.1973;9;27.09.1973;-.2;25.10.1973;-5.3;30.11.1973;-10.7;03.12.1973;-10.7;03.12.1973;
1974;AVG;1;;3.6;;7.3;;9;;13.2;;15;;17.1;;20.1;;14.3;;5.5;;3.7;;2.5;;9.4;;
1974;MAX;6.5;20.01.1974;7.4;17.02.1974;14;21.03.1974*;14.5;30.04.1974;20;31.05.1974;21;26.06.1974;22.7;30.07.1974;26.5;16.08.1974;20.6;09.09.1974;8.1;07.10.1974;7.3;16.11.1974;11.1;29.12.1974;26.5;16.08.1974;
1974;MIN;-2.5;14.01.1974;-1.1;26.02.1974;.5;08.03.1974;4.9;16.04.1974*;5.3;07.05.1974;10.5;12.06.1974;13.4;19.07.1974*;15.2;12.08.1974;8.7;26.09.1974;.3;30.10.1974;-2;09.11.1974;-3.7;14.12.1974;-3.7;14.12.1974;
1975;AVG;2;;-.2;;4.9;;8.4;;14.8;;16.7;;19.5;;19.1;;17.3;;8.5;;2.3;;.1;;9.5;;
1975;MAX;7.2;06.01.1975;4.4;02.02.1975;10.5;10.03.1975;15.7;30.04.1975;20.5;19.05.1975;24;15.06.1975;23.4;15.07.1975;23.8;11.08.1975;21.8;17.09.1975;19.8;01.10.1975;7.7;18.11.1975;4.5;06.12.1975;24;15.06.1975;
1975;MIN;-1.4;09.01.1975;-4.8;17.02.1975;-.6;25.03.1975;2.5;01.04.1975;9.7;01.05.1975;8.7;02.06.1975;12.5;01.07.1975;15.9;14.08.1975;11.9;13.09.1975;2.3;30.10.1975;-8.6;25.11.1975;-10.5;19.12.1975;-10.5;19.12.1975;
1976;AVG;-.3;;-.9;;1;;9.3;;14;;18;;20.2;;16.5;;13.2;;10;;5.5;;-1;;8.8;;
1976;MAX;8.4;12.01.1976;4.1;27.02.1976;9.1;29.03.1976;15.5;03.04.1976;18.7;11.05.1976;23.7;28.06.1976;26.1;18.07.1976;20.2;29.08.1976;18.3;13.09.1976;17.7;13.10.1976;12.4;06.11.1976;5.6;20.12.1976;26.1;18.07.1976;
1976;MIN;-6.8;29.01.1976;-6.3;09.02.1976;-4.8;07.03.1976;2.6;29.04.1976;8.1;01.05.1976;11.1;02.06.1976*;15.1;24.07.1976;12.9;01.08.1976;10;26.09.1976;4.1;27.10.1976;-1.8;25.11.1976;-8.6;30.12.1976;-8.6;30.12.1976;
1977;AVG;-1.5;;1.3;;7;;7.3;;13.3;;17.8;;18.3;;17.1;;12.2;;10;;4.5;;-1.2;;8.8;;
1977;MAX;2.1;29.01.1977;7.2;24.02.1977;14.8;24.03.1977;19.5;30.04.1977;21.9;04.05.1977;22.9;10.06.1977;23.5;25.07.1977;21.6;08.08.1977;20.1;01.09.1977;17.6;08.10.1977;12.1;04.11.1977;5.9;25.12.1977;23.5;25.07.1977;
1977;MIN;-8.3;19.01.1977;-7.3;02.02.1977;-2.1;30.03.1977;-.1;10.04.1977;7.7;07.05.1977;9.1;01.06.1977;13.7;15.07.1977;12.5;23.08.1977;6.2;28.09.1977;3.7;20.10.1977;-4.9;30.11.1977;-5.9;13.12.1977;-8.3;19.01.1977;
1978;AVG;-.4;;-2.1;;5;;7.7;;12.4;;15.9;;16.4;;16.4;;13.3;;9.7;;1.7;;-.9;;7.9;;
1978;MAX;2.7;03.01.1978;6;26.02.1978;13.6;30.03.1978;12.9;11.04.1978*;18.6;31.05.1978;20.6;02.06.1978;21.6;29.07.1978;22.9;07.08.1978;22.1;11.09.1978;15.6;03.10.1978;6.9;23.11.1978;5.5;31.12.1978;22.9;07.08.1978;
1978;MIN;-4.8;05.01.1978*;-8.1;21.02.1978;.3;22.03.1978;.6;13.04.1978;2.8;11.05.1978;11.3;14.06.1978;12;22.07.1978;9.7;31.08.1978;8;29.09.1978;2.7;27.10.1978;-1.8;16.11.1978;-9.7;05.12.1978;-9.7;05.12.1978;
1979;AVG;-5;;-.9;;4.8;;7.8;;15.2;;19.3;;16.3;;17.4;;14.5;;7.8;;3.8;;2.7;;8.6;;
1979;MAX;3.2;28.01.1979;2;13.02.1979;10.4;20.03.1979;13.1;15.04.1979;22.5;24.05.1979;24.2;04.06.1979;20.9;31.07.1979;23.3;02.08.1979;18.7;09.09.1979;15.9;15.10.1979;8.2;15.11.1979*;8.7;01.12.1979;24.2;04.06.1979;
